StartTime,EndTime,HydroPowerProduction
27/04/2023 10:34,27/04/2023 10:34,1686.3
27/04/2023 10:37,27/04/2023 10:37,1722.8
27/04/2023 10:40,27/04/2023 10:40,1754
27/04/2023 10:43,27/04/2023 10:43,1763.3
27/04/2023 10:46,27/04/2023 10:46,1752.3
27/04/2023 10:49,27/04/2023 10:49,1787.5
27/04/2023 10:52,27/04/2023 10:52,1819.4
27/04/2023 10:55,27/04/2023 10:55,1805.5
27/04/2023 10:58,27/04/2023 10:58,1800.2
27/04/2023 11:01,27/04/2023 11:01,1753
27/04/2023 11:04,27/04/2023 11:04,1757.7
27/04/2023 11:07,27/04/2023 11:07,1710.2
27/04/2023 11:10,27/04/2023 11:10,1698.3
27/04/2023 11:13,27/04/2023 11:13,1684
27/04/2023 11:16,27/04/2023 11:16,1699
27/04/2023 11:19,27/04/2023 11:19,1719.2
27/04/2023 11:22,27/04/2023 11:22,1724.2
27/04/2023 11:25,27/04/2023 11:25,1739.8
27/04/2023 11:28,27/04/2023 11:28,1749
27/04/2023 11:31,27/04/2023 11:31,1753.2
27/04/2023 11:34,27/04/2023 11:34,1792.7
27/04/2023 11:37,27/04/2023 11:37,1775
27/04/2023 11:40,27/04/2023 11:40,1765
27/04/2023 11:43,27/04/2023 11:43,1755.5
27/04/2023 11:46,27/04/2023 11:46,1769.7
27/04/2023 11:49,27/04/2023 11:49,1737.8
27/04/2023 11:52,27/04/2023 11:52,1739.7
27/04/2023 11:55,27/04/2023 11:55,1709
27/04/2023 11:58,27/04/2023 11:58,1696.7
27/04/2023 12:01,27/04/2023 12:01,1690.6
27/04/2023 12:04,27/04/2023 12:04,1704
27/04/2023 12:07,27/04/2023 12:07,1697
27/04/2023 12:10,27/04/2023 12:10,1702.3
27/04/2023 12:13,27/04/2023 12:13,1679.2
27/04/2023 12:16,27/04/2023 12:16,1659.8
27/04/2023 12:19,27/04/2023 12:19,1683.5
27/04/2023 12:22,27/04/2023 12:22,1660.2
27/04/2023 12:25,27/04/2023 12:25,1587.9
27/04/2023 12:28,27/04/2023 12:28,1585.7
27/04/2023 12:31,27/04/2023 12:31,1587.5
27/04/2023 12:34,27/04/2023 12:34,1559.7
27/04/2023 12:37,27/04/2023 12:37,1481.7
27/04/2023 12:40,27/04/2023 12:40,1428.2
