StartTime,EndTime,WindPowerGeneration
21/02/2023 21:00,21/02/2023 22:00,611
21/02/2023 22:00,21/02/2023 23:00,531
21/02/2023 23:00,22/02/2023 00:00,340
22/02/2023 00:00,22/02/2023 01:00,226
22/02/2023 01:00,22/02/2023 02:00,120
22/02/2023 02:00,22/02/2023 03:00,75
22/02/2023 03:00,22/02/2023 04:00,83
22/02/2023 04:00,22/02/2023 05:00,86
22/02/2023 05:00,22/02/2023 06:00,107
22/02/2023 06:00,22/02/2023 07:00,136
22/02/2023 07:00,22/02/2023 08:00,178
22/02/2023 08:00,22/02/2023 09:00,166
22/02/2023 09:00,22/02/2023 10:00,107
22/02/2023 10:00,22/02/2023 11:00,99
22/02/2023 11:00,22/02/2023 12:00,83
22/02/2023 12:00,22/02/2023 13:00,58
22/02/2023 13:00,22/02/2023 14:00,35
22/02/2023 14:00,22/02/2023 15:00,18
22/02/2023 15:00,22/02/2023 16:00,20
22/02/2023 16:00,22/02/2023 17:00,50
22/02/2023 17:00,22/02/2023 18:00,163
22/02/2023 18:00,22/02/2023 19:00,487
22/02/2023 19:00,22/02/2023 20:00,1054
22/02/2023 20:00,22/02/2023 21:00,1824
22/02/2023 21:00,22/02/2023 22:00,2370
22/02/2023 22:00,22/02/2023 23:00,2668
22/02/2023 23:00,23/02/2023 00:00,2882
23/02/2023 00:00,23/02/2023 01:00,3163
23/02/2023 01:00,23/02/2023 02:00,3303
23/02/2023 02:00,23/02/2023 03:00,3234
23/02/2023 03:00,23/02/2023 04:00,3389
23/02/2023 04:00,23/02/2023 05:00,3494
23/02/2023 05:00,23/02/2023 06:00,3573
23/02/2023 06:00,23/02/2023 07:00,3669
23/02/2023 07:00,23/02/2023 08:00,3780
23/02/2023 08:00,23/02/2023 09:00,4020
23/02/2023 09:00,23/02/2023 10:00,4036
23/02/2023 10:00,23/02/2023 11:00,3868
23/02/2023 11:00,23/02/2023 12:00,3585
23/02/2023 12:00,23/02/2023 13:00,3045
23/02/2023 13:00,23/02/2023 14:00,2446
23/02/2023 14:00,23/02/2023 15:00,2080
23/02/2023 15:00,23/02/2023 16:00,1758
23/02/2023 16:00,23/02/2023 17:00,1616
23/02/2023 17:00,23/02/2023 18:00,1769
23/02/2023 18:00,23/02/2023 19:00,2014
23/02/2023 19:00,23/02/2023 20:00,2253
23/02/2023 20:00,23/02/2023 21:00,2435
23/02/2023 21:00,23/02/2023 22:00,2495
23/02/2023 22:00,23/02/2023 23:00,2432
23/02/2023 23:00,24/02/2023 00:00,2365
24/02/2023 00:00,24/02/2023 01:00,2112
24/02/2023 01:00,24/02/2023 02:00,2047
24/02/2023 02:00,24/02/2023 03:00,2220
24/02/2023 03:00,24/02/2023 04:00,2249
24/02/2023 04:00,24/02/2023 05:00,2227
24/02/2023 05:00,24/02/2023 06:00,2066
24/02/2023 06:00,24/02/2023 07:00,1810
24/02/2023 07:00,24/02/2023 08:00,1561
24/02/2023 08:00,24/02/2023 09:00,1367
24/02/2023 09:00,24/02/2023 10:00,1430
