StartTime,EndTime,WindPowerGeneration
22/04/2023 20:00,22/04/2023 21:00,859
22/04/2023 21:00,22/04/2023 22:00,1070
22/04/2023 22:00,22/04/2023 23:00,1256
22/04/2023 23:00,23/04/2023 00:00,1465
23/04/2023 00:00,23/04/2023 01:00,1603
23/04/2023 01:00,23/04/2023 02:00,1533
23/04/2023 02:00,23/04/2023 03:00,1353
23/04/2023 03:00,23/04/2023 04:00,1208
23/04/2023 04:00,23/04/2023 05:00,1055
23/04/2023 05:00,23/04/2023 06:00,1064
23/04/2023 06:00,23/04/2023 07:00,1045
23/04/2023 07:00,23/04/2023 08:00,886
23/04/2023 08:00,23/04/2023 09:00,747
23/04/2023 09:00,23/04/2023 10:00,727
23/04/2023 10:00,23/04/2023 11:00,799
23/04/2023 11:00,23/04/2023 12:00,792
23/04/2023 12:00,23/04/2023 13:00,862
23/04/2023 13:00,23/04/2023 14:00,939
23/04/2023 14:00,23/04/2023 15:00,920
23/04/2023 15:00,23/04/2023 16:00,972
23/04/2023 16:00,23/04/2023 17:00,933
23/04/2023 17:00,23/04/2023 18:00,1044
23/04/2023 18:00,23/04/2023 19:00,990
23/04/2023 19:00,23/04/2023 20:00,991
23/04/2023 20:00,23/04/2023 21:00,1055
23/04/2023 21:00,23/04/2023 22:00,1127
23/04/2023 22:00,23/04/2023 23:00,1414
23/04/2023 23:00,24/04/2023 00:00,1535
24/04/2023 00:00,24/04/2023 01:00,1919
24/04/2023 01:00,24/04/2023 02:00,2128
24/04/2023 02:00,24/04/2023 03:00,2221
24/04/2023 03:00,24/04/2023 04:00,2200
24/04/2023 04:00,24/04/2023 05:00,2184
24/04/2023 05:00,24/04/2023 06:00,2157
24/04/2023 06:00,24/04/2023 07:00,2112
24/04/2023 07:00,24/04/2023 08:00,2083
24/04/2023 08:00,24/04/2023 09:00,1960
24/04/2023 09:00,24/04/2023 10:00,1804
24/04/2023 10:00,24/04/2023 11:00,1692
24/04/2023 11:00,24/04/2023 12:00,1308
24/04/2023 12:00,24/04/2023 13:00,1021
24/04/2023 13:00,24/04/2023 14:00,927
